# total_loss,base_mae,hotspot_mae,focal_loss,dice_loss
1.021172992388407330e+01,8.274485108753044937e-02,8.096394886573156091e-01,7.487605131852130384e-03,9.975758790969848633e-01
8.232083161671956972e+00,1.093740537762641907e-01,6.042959292729696008e-01,1.786638322907189644e-02,9.952089687188466760e-01
7.513267199198405244e+00,1.462738290429115295e-01,5.176210428277651099e-01,4.004316249241431785e-02,9.952834993600845337e-01
7.201540589332580566e+00,1.858176576594511575e-01,4.695890992879867554e-01,6.620330053071181442e-02,9.944077283143997192e-01
6.983270088831583955e+00,2.068046095470587320e-01,4.392930145064989911e-01,7.910095403591792251e-02,9.940152217944463464e-01
6.886875112851460479e+00,2.203301712870597839e-01,4.232364085813363208e-01,8.962178726991017197e-02,9.930358976125717163e-01
6.731541792551676728e+00,2.360155023634433746e-01,4.007421135902404785e-01,1.001415184388558116e-01,9.936988055706024170e-01
6.615687489509582520e+00,2.418511311213175363e-01,3.870702634255091534e-01,1.033688280731439590e-01,9.931447903315225867e-01
6.632031202316284180e+00,2.506488909324010028e-01,3.833806688586871014e-01,1.120910116781791005e-01,9.935603191455205652e-01
6.627596696217854522e+00,2.505326730509598865e-01,3.837072278062502728e-01,1.104961459835370335e-01,9.937554399172464636e-01
6.539415081342061065e+00,2.601617847879727496e-01,3.727609440684318542e-01,1.128809694200754166e-01,9.936194668213526038e-01
6.533064564069111846e+00,2.802235682805379047e-01,3.590423775215943469e-01,1.349469249447186880e-01,9.938412904739379883e-01
6.343099872271220185e+00,3.037477657198905945e-01,3.258266920844714032e-01,1.590475949148336954e-01,9.929235974947611121e-01
6.180971026420593262e+00,2.990705594420433044e-01,3.150488175451755524e-01,1.489923608799775534e-01,9.932251920302709314e-01
6.035148183504740693e+00,2.992677241563796997e-01,3.007986458639304028e-01,1.483513023704290390e-01,9.930687596400579187e-01
6.169254422187805176e+00,3.179336115717887878e-01,3.003428379694620953e-01,1.726452410221099854e-01,9.923330942789713172e-01
5.937406341234843232e+00,3.255670741200447083e-01,2.707988408704598560e-01,1.836775603393713541e-01,9.927314867575963708e-01
5.882200181484222412e+00,3.391919359564781189e-01,2.554243765771389008e-01,2.007033613820870810e-01,9.926238258679708215e-01
6.161386609077453613e+00,3.294032762447993146e-01,2.925370509425799237e-01,1.839133488635222025e-01,9.935230761766433716e-01
5.985419114430745147e+00,3.478948573271433697e-01,2.644849345088005066e-01,2.011969586213429861e-01,9.933449923992156982e-01
5.879558165868123076e+00,3.566469177603721619e-01,2.467144144078095847e-01,2.139557475845018930e-01,9.929941346247991296e-01
5.539164702097575166e+00,3.358064840237299786e-01,2.226570968826611929e-01,1.981969612340132303e-01,9.929012407859166833e-01
5.639657298723856904e+00,3.452765494585037231e-01,2.244922518730163574e-01,2.127042872210343771e-01,9.929683953523635864e-01
5.440294106801350615e+00,3.531200538078944073e-01,1.971725455174843378e-01,2.258043761054674692e-01,9.932133257389068604e-01
5.459330439567565918e+00,3.452875887354214801e-01,2.052857646097739630e-01,2.148962318897247314e-01,9.933520207802454260e-01
5.573612451553344727e+00,3.372639218966166363e-01,2.223356800774733133e-01,2.053837850689888000e-01,9.930363645156224939e-01
5.359007219473521211e+00,3.515879313151041852e-01,1.858518337830901146e-01,2.324272952973842621e-01,9.933822453022003174e-01
5.485204656918843291e+00,3.281189079085986005e-01,2.164224547644456320e-01,2.014330935974915915e-01,9.928478499253591272e-01
5.314242959022521973e+00,3.349725157022476196e-01,1.953130196779966354e-01,2.079295478761196136e-01,9.932462175687154504e-01
5.237601757049560547e+00,3.341966619094212665e-01,1.871662999813755446e-01,2.092605245610078268e-01,9.927197545766830444e-01
5.594273686408996582e+00,3.516743034124374390e-01,2.065230744580427713e-01,2.381021206577619009e-01,9.934290200471878052e-01
5.552265842755635283e+00,3.356998165448506488e-01,2.192981491486231393e-01,2.074447522560755319e-01,9.931803693373998376e-01
5.528081973393757842e+00,3.407899787028630390e-01,2.111828904598951340e-01,2.178582375248273306e-01,9.930859208106994629e-01
5.507021983464558623e+00,3.415272682905197144e-01,2.043718000253041678e-01,2.275474804143110819e-01,9.920197079579035071e-01
5.634693940480549834e+00,3.409120490153630390e-01,2.193973120301961899e-01,2.228698978821436472e-01,9.927296439806619910e-01
5.273978829383850098e+00,3.451942428946495056e-01,1.835681876788536615e-01,2.214460807542006082e-01,9.929361591736475257e-01
5.456444064776102998e+00,3.355617572863896503e-01,2.067359226445356912e-01,2.132553396125634604e-01,9.936231623093286780e-01
5.262214978535969756e+00,3.384528582294781818e-01,1.822546683251857758e-01,2.229513588051001138e-01,9.932293246189752844e-01
5.193563699722290039e+00,3.368169864018757953e-01,1.737550795078277588e-01,2.266101067264874869e-01,9.930726935466130945e-01
5.581986625989277861e+00,3.446421821912129535e-01,2.170801945030689240e-01,2.161668886741002493e-01,9.928540438413619995e-01
5.463096896807352998e+00,3.635491778453190936e-01,1.884031357864538736e-01,2.456742102901140756e-01,9.935727020104726526e-01
5.252813160419464111e+00,3.509184494614601135e-01,1.752898047367731638e-01,2.323341394464174814e-01,9.936629782120386389e-01
5.329441189765930176e+00,3.636303419868151532e-01,1.710780430585145950e-01,2.535402874151865826e-01,9.936644931634267541e-01
5.475350558757781982e+00,3.527862230936686383e-01,1.962747775639096803e-01,2.343749776482582092e-01,9.939707865317662927e-01
5.254939516385396026e+00,3.514036138852437152e-01,1.785177774727344513e-01,2.262610457837581635e-01,9.935264090696970252e-01
5.151881217956542969e+00,3.532318870226542340e-01,1.645793349792560034e-01,2.334921546280384064e-01,9.926976213852564124e-01
5.224646846453349092e+00,3.621830567717552185e-01,1.626152992248535156e-01,2.498035368820031576e-01,9.936465720335642127e-01
5.054744899272918701e+00,3.506291409333546771e-01,1.551616303622722626e-01,2.334837441643079214e-01,9.925403396288553504e-01
5.121901710828145049e+00,3.445658460259437561e-01,1.617555872847636633e-01,2.345943450927734375e-01,9.934041301409403113e-01
5.018354614575703643e+00,3.380658974250157489e-01,1.589340319236119681e-01,2.209942452609539032e-01,9.929885466893514367e-01
